what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1479811368610
arch,sysinfo,,,"x86_64",1479811368610
ws,sysinfo,,,"win32",1479811368610
locale,sysinfo,,,"zh_CN",1479811368610
processors,sysinfo,,,"4",1479811368610
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479811368610
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1479811368610
java.specification.name,sysinfo,,,"Java Platform API Specification",1479811368610
java.specification.vendor,sysinfo,,,"Oracle Corporation",1479811368610
java.specification.version,sysinfo,,,"1.8",1479811368610
java.vendor,sysinfo,,,"Oracle Corporation",1479811368610
java.version,sysinfo,,,"1.8.0_60",1479811368610
java.vm.info,sysinfo,,,"mixed mode",1479811368610
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1479811368610
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479811368610
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1479811368611
java.vm.specification.version,sysinfo,,,"1.8",1479811368611
java.vm.vendor,sysinfo,,,"Oracle Corporation",1479811368611
java.vm.version,sysinfo,,,"25.60-b23",1479811368611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811371062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811377230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811453372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1479811453391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1479811453391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811456583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811461327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1479811461343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1479811461343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811463950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1479811468035
